,challenges_obstacles_mistakes,outcome_numeric,gender
10," What we understood was that you always need to be ready to overcome challenges.  In our case, there was a big chance of failure due to our relationships - it's always hard to run a company with your life partner. When you launch a business with equal partnership, conflicts are almost inevitable as there are two leaders and two opinions.  Sometimes, this can cause a deadlock, but luckily, we've found a solution. From the start, we decided to divide our spheres of influence. Besides, as a CEO, Roman has veto power, makes the final decision, and takes responsibility for it.  We've learned to plan everything from the very beginning, analyze our progress, and count risks. Because success won't happen if you back away when facing challenges. ‍",1,0
11," For me, the biggest challenge has always been maintaining a strong focus. I am the type of person that comes up with more ideas than I could ever bring to life and gets excited about them quickly.  But having only minimal resources in my startup phase, I had to learn the hard way that I couldn’t do it all at once. And if I nevertheless tried realizing many ideas at once, I often ended up with a bunch of half-done tasks. That’s why I always create three months OKRs for myself and the company to know exactly what I will be working on - and even more importantly, what I will not be working on over the following weeks.  That helps a lot, but staying on my plan remains a huge struggle to this day.   The whole startup fundraising market is very crowded. On one side, you have all these providers of cheap templates that are bringing out new designs weekly. And on the other side, you have very focused software providers that came to the market with a lot of funding. For an independent company like ours, it's always hard to find a place in the middle and especially have visibility. That is ultimately what we are fighting for with all of the competitors. Luckily, the market in total is huge and every founder needs something different. So there are still enough people who see BaseTemplates as the best solution for them and we try to be as outspoken about it as possible.  Another huge mistake that I made repeatedly was not being consistent with content creation on our blog. I hate writing, so this is something that I always pushed to the bottom of my to-do list and ended up dropping quite often. But especially with SEO, it is important to stay consistent with your content creation. And we could have been twice our size if we had just continued to create blog content regularly. ‍",1,0
12," I’ve been passionate about our business, our products, and the community from day #1, however when building the business I never anticipated what it meant to be a leader of an organization. For the longest time, I put off managing duties with the hope that our hires would just get it. Of course, they didn’t (no fault to them), and it lead to several headaches. After about 3 years we finally understood that for the business to grow we needed to become better managers. We implemented the techniques from Traction which helped us set KPIs, improve our hiring process, and maintain our vision.    In the early days, we gave our team a lot of freedom without many guidelines, accountability, or metrics. Subsequently, it was challenging for them to know if they were being successful in their role and they didn’t have all the information they needed to make appropriate decisions. One season we made investments into inventory that would take 24 months to clear through. Fortunately for us, the product isn’t perishable and we’re able to work through it, but it’s not fun having that much capital in inventory that won’t move for a long time. Other challenges came in the form of our proofing process (or lack of one). We’ve had several products that needed to be destroyed, recalled, or re-produced because labels were wrong. After about 5 years and tens of thousands of dollars of loss, we’ve finally made it a top priority to resolve and mistakes have dropped dramatically. ‍",1,0
13," Challenges you have faced in the process of building and growing Bediwin Information Services. Far and away the biggest challenge was finding prospective customers. Experienced salespeople will explain the concept of a sales funnel to you and honestly, most of that isn’t rocket science, but they won’t tell you how to find prospects to go in the top.   Your personal and your team disadvantages. I was selling a service my prospects didn’t want to a target market that was mostly in survival mode and would have seen me as a frivolous expense (at best) and a waste of time that they didn’t have (at worst). ‍ Mistakes you have committed. I assumed that my prospects would recognize the value I could offer straight away. This, it turns out, was wrong. Towards the end, I started to look at other businesses in the area and I noticed that they almost invariably had one thing in common: the product or service they could offer, and the benefits thereof, were immediately obvious. I found precisely one business that wasn’t in this position, and in that case, it had taken the owner about eight years to make it work. The second mistake I made was I put precisely the wrong amount of money in. If I’d started out the business with nothing, I would have recognized immediately that I needed to work hard to get some money in. If I’d started out the business with a very large sum of money, I could have spent that on growing the business more quickly. Instead, I put £5,000 in. Which, it turns out, was enough to leave me thinking “Hey, I’ve got loads of cash in the bank, I don’t need to worry!” but not enough to engage the sort of professional help I needed. ‍",0,0
14," Where to begin… The most challenging part of a startup IMO is handling the daily or even hourly swings. Super highs and super lows. Keeping even and staying the course is paramount. In our services business back in the day, we had to learn the hard lessons of understanding our value and how our perception of ourselves translates into reality and success. With Bildr, the learning comes straight from users and customers. It’s a constant process of failure and iteration. Sometimes these are small things and not very costly other times, they have a tangible impact through lost time and capital.",1,0
15," When I founded BizzBee, I made the mistake of relying solely on freelancing platforms as my primary source of work.  It was a good short-term strategy, but I clung to it for much too long. I was afraid of rejection, and I didn’t reach out to people.  That was something that could have killed my dream right from the start. Luckily, I decided that even though I am terrified, I am going to do my best. I will dive into the wild waters and swim with the big sharks.  Either they will eat me, or I will learn how to swim with them. At first, I did everything wrong, of course.  I was that needy, pushy salesperson that I now teach people not to be.  You can now see where that comes from and why I tell people not to do it. The chances are, making your first move a sales pitch will only get you the rejection you are so afraid of.  If you approach people with the sole intention of selling them something, they will give you the leg. Instead of selling, you should be building.  Yes, you read that right. Building rapport, connection, relationships with your prospects.  Instead of just talking, try listening to people. Instead of assuming, try asking.  That’s the right and the only way of doing outreach. ",1,0
16," So far, I’ve gotten incredibly lucky with Blogging for Devs. But that’s mostly because I made all the classic, first-time founder mistakes with my first product, Affilimate: No distribution plan beyond “build it and they’ll tell their friends”Not diversifying the customer baseHaving a time-sensitive marketing plan that relied solely on SEO (which has a timeline of its own, especially in a competitive niche like affiliate marketing). Thankfully, I was able to do the opposite of many of these mistakes with Blogging for Devs and it had a positive result. And I’ve managed to turn around most of those with my SaaS, too, and things look wildly different than they did a year ago. Some things just take time :) ",1,1
17," GILAD: So for me, it was the dependencies. Driving 45 minutes to the lab every time was exhausting and time-consuming. And It took much time and energy talking to restaurants, persuade them to join, persuade them to pay for the food-check, going like that door-to-door, and realizing that we can’t make a progress at one front without a progress in the other. Restaurants wanted to see users, but they wouldn’t come without restaurants, and restaurants asked how many users do we have before paying for the food-check. I figured that this is not how I want the business to come about. It’s like we were a low-tech business, with just an app to support it. Of course, if we had money then a guy would have delivered the dishes to the lab for us, or we would have paid for ALL the food checks just as a proof of concept instead of asking restaurants to pay, etc. But we just couldn’t go on like this. ‍ SHAKED: I think that what disturbed me the most and always felt like a problem, was the fact that I want to keep on traveling and live abroad. As Gilad mentioned that would have been quite complicated thinking about the way things worked. ‍",0,0
18,"  When we first started, we didn’t account for the seasonality of the travel industry. So there was a point when our revenue stopped growing, and we got very worried that it would never come back. Revenue eventually picked up again, but it taught us that seasonality is very much part of the travel industry and something we need to plan around. ‍",1,0
19," Building an ops-intensive e-commerce startup is scary: when ordering our first run of inventory, we found ourselves wiring a good chunk of our pre-seed funding to our factories in China. If you haven’t raised much money or are bootstrapping, managing working capital is key. Once you demonstrate traction, you’ll be able to secure an asset-backed line of credit to finance your inventory. Until then, it pays to negotiate supplier and payer terms to minimize your working capital needs. In general, operations is the toughest part of our business. We’ve learned that writing clear service level agreements (SLAs) to govern our relationship with fulfillment partners avoids issues later on. What happens if goods are damaged in route? What are the penalties if your supplier ships the wrong color of a product? If you don’t know what a good SLA looks like, ask someone running logistics at a similar business to help. Be prepared to do things yourself to learn what to expect from your partners my co-founders and I have delivered and built probably hundreds of pieces of furniture ourselves.  PR is tougher for a B2B product, but we’ve learned that every business has angles relevant to a general audience. If you’re solving a big enough problem that customers care and like you, there is a reporter and audience out there who will care too. Figure out what you know that will change their thinking about the area you’re building in. Provide evidence if you can there’s nothing like compelling data for a successful pitch.  We made too many mistakes to count! It sounds simple, but here’s a general concept we’ve gotten much better at applying over the past year: identify critical assumptions early on and dig as deep as you can to verify them. What are the key things you have to believe for your business to succeed? If they’re that important, stress test your assumptions!  For example, we made assumptions about the availability of a certain acquisition channel early on based on anecdotal evidence, but didn’t verify until it was too late. In a weird way, for smart people in particular, it can be tempting to cover your eyes and avoid digging in because you’re worried about a key assumption being proven wrong.  Resist the urge to protect the sunk costs of your thesis better to go back to the drawing board early than plunge into months of work under false pretenses. ‍",1,0
20," We should have been more focused and built a smaller product. The biggest headache of building Brisk was that we had two “open surfaces”: both the data and the user interface.  We were flexible on what data to use and how to interpret it (What is a good deal in your Salesforce instance? How long time should one wait till call again?) and the user interface and user. We allowed a lot of different use cases and ended up having a very unfocused development, onboarding, and sales. Salesforce is a very flexible system, and we ended up spending massive amounts of time to support all the different customizations that were done and then propagating that to the user.                                                                                                                                                       ",0,0
21," Taming Chrome and getting users! Chrome (which is the defacto headless browser) is just crazy-hungry for resources, so babysitting it and providing a web-service around it is crucial. Some folks don’t even put things like concurrency-limits around it and just let their apps go crazy running Chrome jobs, but there’s such a high-risk of it bringing down your entire stack if you don’t contain it. This is why having something open-sourced is extremely helpful: just because I maintain the project doesn’t mean I know everything about it and can fix everything. The community sort of gathers around the best-in-class and helps to make it better. Getting users and understanding their feedback can especially be challenging when starting. I think it’s important to know that not everything is a rocket-ship, and that if you enjoy the project and it’s fun when you can make sacrifices elsewhere (like growing crazy fast). No one wants to sell their soul for money…. or at least they shouldn’t!! Technically speaking the greatest challenge was the debugger. Chrome comes bundled with a remote-debugger that’s incredible, but getting all the other pieces working (like user-submitted scripts, type-ahead, linting, error-handling) is a lot to manage. Overcoming that was a big win for me, as I now solely use that tool for writing any new scripts. ‍  So many mistakes were made. Some that come to mind: Not building an audience earlierNot having a good strategy for content marketingBeing ahead of where the market wasDocumentation was lackingNot sleeping enough I love that there’s a lot of good things too. I definitely shipped early, often, and listened to users a lot. I think this helped bring browserless up to speed on where other cloud-providers are, but wish I would have spent more time on polish and documentation. ‍",1,0
22," I already mentioned some of the emotional ups and downs. The biggest challenge so far has been the lack of money. We run everything with our own time and money, and this has become increasingly difficult. During the low times, you can really start to ask yourself, is it worth it to keep going? We’re about to break even, so the investment is paying off slowly—but it is working!  We are now in a kind-of profitable situation, which means that we can pay our expenses, but we cannot afford to pay a salary to ourselves. Still, we do not need to keep putting money in, which is good, but we have to work for free. I hope soon enough we reach the so-called “ramen profitability”, where we can get paid something, even if a little bit, that might not make a big difference but for sure will help in lifting our spirits. We have overcome this limitation for now by splitting our time between Bugfender and consultancy work (for Mobile Jazz). It is not ideal but it is working, though it has been extremely difficult.    On a personal level, I know I am too pessimistic. I have to be careful how I phrase things or how I express my feelings with the team since I could damage their morale. Fortunately, I happened to team up with the right people and we rely on each other’s support when things go out of balance. It has worked very well so far. As a team, I mentioned everyone who works on Bugfender also works on Mobile Jazz, mainly for economic reasons. We maybe could have made the decision to hire someone completely external earlier, who would work full-time on Bugfender. I think the multi-tasking has made us miss some good opportunities.  Also, as a company, I think we have not experimented enough with pricing just yet. We have a pricing based on certain assumptions but we have not tested much. For example, right now we have a free plan which we believe helps people try Bugfender without fear. However, how would changing the free plan for a trial work? We do not know. On the technology side, we have also made mistakes. Working in Go seemed very appealing in the beginning since we were eager to learn about new technologies but Go at that moment was not mature and we have paid the price for it. Also, today we are still finding it difficult to find experienced developers. Something causing problems was the choice of libraries. We chose martini as the web framework and it resulted to be extremely poor performance even its author moved on to a new project called gin. Migrating away from martini to the native HTTP library has improved the performance about 10x for us, saving us (or in the previous months costing us) thousands of dollars, literally. For database access, we used gorm (version 1). But also gorm was mostly rewritten in the following months, resulting in an incompatible API from the version we use it mainly means we should rewrite our code and do a thorough data migration… we are probably going to leave gorm and stick to sqlx, which is a widely used library giving us better control on performance. I guess this is all a reflection of the evolution in the language as the development community matures. We wrote a blog post about Go and the choice of libraries, listing all the pros and cons—maybe it could help other people make better choices next time.  Also, we naturally have had to evolve the primitive MySQL based system. Relational databases are not good at write-heavy workloads such as log storage. We have evolved it into a more complex setup with MySQL only for certain data, then using Kafka and Elasticsearch primarily for storing logs, with some help of Redis for caching the most commonly accessed data.",1,0
23," It’s not easy to build a startup when you're married, have a 1-year-old, a family to think of and debts to pay :) But luckily, I had some resources in my bank account which allowed me not to focus on the money, but on the journey ahead. The biggest challenge we faced was when Roxana, my co-founder, was hit by a car and needed a few months to recover (she’s doing great now, in perfect shape). This was the trigger to go out to find sources of investment.  6 months later we got €750K in our bank accounts for our first seed round, led by Early Game Ventures. ‍  I think we should have launched the product even faster. We were slow about taking some bold actions. We wanted to build a product for everyone and we were so happy that people listened to us and gave their feedback that we forgot to ask ourselves a question: Is this feedback relevant for us, for what we are building? ‍ What’s the real use case? Is it a relevant opinion? Feedback is great, but if you listen to the wrong advice, it can end up killing your startup. Or you’ll build something that you don’t want to build. Create a company neither for yourself nor for your customers. And then you yourself will kill your startup. ",1,0
24," I didn't trust that it could work. I was too afraid that I'd spend all of my time on the app and building an audience, but nothing would come of it. Because of this, I stopped working on it all together and ""gave up"" on the idea. I'm not saying that if I stuck with it it was a guaranteed success, but there's been an ongoing interest in the app and I've received some really positive app reviews. I think had I kept on working on it, it may not have been a financial success, but would have still been a worthy effort. ‍",0,0
25," I struggled first with the courage to leave my comfortable job and salary. It's easy to stay in a job where you are comfortable, content, and have a steady salary coming in, so gaining the confidence to take that leap and follow my dreams was a really difficult thing to do, especially having doubts and measuring success. There are challenges every day, and I see them as opportunities to make a difference. I love it. If I never would have taken that jump from my job to entrepreneurship, I'm not sure if I ever would have. Taking the risk is initially the hardest thing to do, but if something scares you enough, that means you're doing something right. ‍  Honestly I don’t see any disadvantages – I am truly blessed to have the advantages I have. And mistakes? I make them every day, just like all of us. The important thing is to recognize them quickly, and fix them quickly.  When we started scaling, I was convinced that we could trust our logistics to a third party. After only two months, I realized this was not going to work for us. I flew to Indiana and personally supervised the transfer of our goods back to California where we could control it and guarantee the customer experience I want. The customer is always right, and a true, honest experience for the customer can make or break a sale. This is something Buttercloth is passionate about, giving our customers the most memorable e-commerce experience we can. ‍",1,0
26," The biggest challenge I faced was taking that first step to introduce Campertunity to the world. When the website was finished and ready to be launched, we were standing in the kitchen of my small Vancouver condo and sweating just before hitting the “launch” button. Then, I did it. I hit launch...then waited.  Before Campertunity launched, we had media attention. So much of it that we were in the newspaper and on the radio before Campertunity even had one user signed up. So, by the time launch day arrived, we had 250 people who had signed up on our landing page. Here we are, thinking that by pressing the launch button, hundreds of people are going to list their land and Campertunity is going to make thousands in its first year.  As you can maybe imagine, that wasn’t the case at all. The launch button was pressed, 3 people listed their land, and the website was almost stagnant for another 6 months. Camping season was over.    Our greatest disadvantage is that camping is seasonal, meaning Campertunity is a seasonal business. We are busy all year round with marketing but the interest just isn’t there in the middle of December. That’s simply a reality we have to face in Canada.  Our second disadvantage is that we don’t know how to code. Although people smarts are a great quality to have, growing up in the 80’s didn’t have any advantage in learning how to code. With many tech start-ups being created by people in their early 20’s who have nothing to lose and all the knowledge of a computer, it’s hard to keep up with maintaining our own website and tweaking it to suit the appearance and functionality that we want.  And, my mistake: I wish we had started small and then grown bigger. It would have been easier and we could have gathered more attention if we focused first on British Columbia, my home province, and then expanded as we became more popular and with more revenue. But, we started big...all of Canada, and marketing to the second largest country in the world is a lot of work that’s overwhelming. We can’t reverse what we did because we already have a few listings and users across Canada, but we may shift our marketing back to BC and grow more at home.  ",1,1
27," Raising money is one of the hardest and longest processes so far. We’re raising $150,000 and started fundraising in September of 2018. There is also additional pressure since Canary is not yet making enough money for Josh and me to pay ourselves. For me, I have no other income, so I’m currently eating through my savings to be able to do this full time. Once we close this round, I’ll feel a huge weight lifted off my shoulders since I’ll be able to have some income, regardless of how small. The biggest advantage of raising money is that it buys us time to operate for the next 12-14 months. In terms of actually finding investors and raising money, that presents another problem. How do you meet investors? For me, I met most of our investors through Shapr. Shapr is basically Tinder for networking. Whether you’re looking to meet investors, find an engineer, or just network with people in your area, Shapr will help. Another challenge I have personally faced, which I alluded to earlier, is dealing with rejection. I have never been trained in sales and have had no prior experience before Canary. You can imagine the wake-up call I had when the first dozen venues told me they weren’t interested. It was hard in the beginning, but I’m learning to have thicker skin. There’s no easy way to get comfortable with rejection, but being able to adjust my expectations is something that’s eased that pain. ‍  I made a few technical mistakes early on in developing the app. Although building a web app is great, it was done incorrectly. I didn’t create a codebase with reusable code and so trying to update it was a nightmare. I also should have used React but instead used mostly PHP and jQuery. That just meant that, even if I wanted to do something simple, I had to write a lot of code to get it done. With React, and now with Swift/Kotlin, you can get so much more done with a small amount of code. We haven’t made all the right moves in how we approach selling, but we also didn’t have any experience in selling something like this. I wouldn’t call them mistakes, but there was just a learning curve that took a few months to figure out. There was no easy way to figure out how to sell, it was just being aware of how we were doing and constantly improving it. ‍",1,0
28," The biggest obstacle I overcame was uncertainty and doubt. I came very close to giving up and selling Career Sidekick multiple times, for a shockingly low amount (I was earning very little from it for years, and the sale price would have surely been below $10,000). Now, as my site competes with much larger businesses (some with 50-200 employees) to get attention and search traffic, I’m facing new obstacles, but I’ll have to return in a few years to describe how that turned out :) The biggest mistakes I’ve made: Trying to do everything myself for too long instead of hiring help and trusting others. I think because the nature of my business is so scalable, it allowed me to get away with doing everything myself for a very long time. I would have been forced to delegate tasks much sooner in another business model like a service business (marketing agency, content writing agency, etc). However, the business began growing faster once I overcame this mental block and trusted others to help with the operations. This is a transition that’s in progress and that I still need to improve upon. This also allows me to play to my strengths. I’m not very detail-oriented, for example, so I’ve hired an editor and proofreader so that I never have to read any content before it gets published. That’s a huge help and frees me to do higher-impact tasks. Also, at the very beginning, I was far too hesitant to spend money and invest in the business. I learned that trying to save a few hundred dollars (on website software, marketing tools, etc.) often costs you far more in the long-run. My business is still highly profitable… 80%+ profit margin… just because of the nature of the business. But I always look for ways to invest and buy the best tools/resources for myself. It’s worth it. ‍",1,0
29," I think the single biggest mistake we made from which we did not recover was the “Uber mentality”, which was growth at all cost and ignore any regulations. In building up our food production and distribution process, we should have consulted with the health department early on. We should have paid a private consultant to come in and do an audit for us. Early warning on this would have provided us with ample time to try different distribution models and adjust accordingly. Instead, we were hit with an abrupt shutdown order and as the result could not muster any resources in the short term to make operational changes.  But we didn’t consult anyone. Because we were inspired by Uber and Airbnb to just ignore the regulators. On top of this, there were a bunch of other mistakes in hindsight which, although did not directly cause Chowdy’s demise, all contributed to it: Our pricing was way too low. So low that we basically made no profit over the 2 and half years we ran Chowdy. So low that we didn’t have any resources in reserve to help us deal with unexpected emergencies. Not getting funding. This again relates to the question of resource. When the health department issue came up, we literally had no money to deal with it. If we had outside funding this may have turned out differently. Not having contingency plans for a lot of situations. It wasn’t just the health department issue - we were constantly going from one emergency to another. I barely devoted any time on growing the business after the 2nd year because there were so figurative fires I had to put out, from water getting cut off in our facility, to hub shutting down, to employees walking out.  No risk management. I never sat down and analyzed what were the major risk areas our business faced, partly because I spent all my time in the weeds of running the operations and handling the emergencies. In retrospect, there were so many parts of our business that were very fragile and would break at the slightest disruption. The health department issue that led us to shut down was really just a manifestation of this. ‍ In terms of the challenges we faced along the way but eventually overcome, there were so many. I’ll give 3 examples: The first challenge was ingredient sourcing. We started with buying ingredients ourselves from local supermarkets. We would rent a car on production days, drive to cheap Chinese supermarkets, and buy 1-2 shopping carts worth of ingredients. After about 3 months our volume became way too big for us to shop for ourselves. Additionally, I realized we were not taking advantage of our volume to get discounts on the ingredients. That’s when someone explained to me how restaurants get their ingredients from national distributors like Sysco and GFS. With that, I reached out to a bunch of these suppliers through their websites. Initially, I didn’t get any response back. I then called them directly and was able to meet with some of their reps to figure out how we can buy ingredients from them. The next problem was the facility. We were using our cook’s home kitchen in the beginning. But very quickly that became unfeasible as we learned that it’s illegal to use home kitchen for commercially sold food. Also, home kitchens are simply not equipped with all the specialized and expensive equipment that commercial restaurants use for volume production (like a convection oven and tilt skillet). So we looked around for any commercial kitchens we can rent for cheap. At one point we had the idea to partner up with nightclubs, which are all legally required to have commercial kitchens but they rarely use them. We were able to get a couple of nightclubs to agree to let us use their kitchens for cheap, but this turned out to be a big mistake as we found out that these kitchens were woefully under-equipped and not very clean (we had 2 hires walk out on us because of it). Eventually, we found a newly-started hourly rental kitchen that was clean and had everything we needed. We stayed there for 2 years until we eventually took over a restaurants space and converted it to a dedicated kitchen space. The biggest problem, though, was staff. I learned pretty quickly that the type of people I was hiring was so different from the corporate type I used to work with at the consulting firm. In the food industry, every one job hops every few months and it was extremely tough to retain good and reliable people. We offered above-market hourly wages, yet we were not able to keep anyone for longer than a few weeks. And because our production team was so small, losing even a single person caused significant disruptions for us. There were so many days when my partner and I had to personally jump in to help with dishwashing and deliveries because we were so short staffed. This problem never fully went away, but we eventually grew to a scale that we were able to have a full-time head chef, who basically managed all the hiring for us. ‍",0,0
30," We’re in a very competitive space. Therefore, one of the challenges we face is making our value proposition and differentiating from some of the more established tools that are out there, like Slack communities and Facebook groups. Another of the challenges is helping our creators have engaged communities and have members to interact between them. A lot of times, online communities can lead to ghost towns. Therefore, we help our creators build active communities that are valuable for their members. ‍",1,0
